code,name,industry,report,profit,operation,growth,debtpaying,cashflow
300582,英飞特,半导体,2.88,3.71,3.50,3.83,3.50,5.00
300448,浩云科技,软件服务,2.38,2.86,3.50,4.33,3.50,1.00
300619,金银河,专用机械,1.88,2.86,3.50,3.83,3.50,1.00
600378,天科股份,化工原料,2.25,2.57,3.50,3.50,3.50,1.00
002467,二六三,电信运营,1.62,3.29,3.67,1.00,3.50,4.00
000585,*ST东电,电气设备,1.38,1.86,3.83,1.33,3.50,1.00
300417,南华仪器,电器仪表,2.50,3.43,3.50,2.33,3.50,1.00
601328,交通银行,银行,2.75,4.00,1.00,2.17,3.50,2.80
600756,浪潮软件,软件服务,1.75,3.57,3.50,1.67,3.50,1.00
002140,东华科技,建筑施工,2.38,3.57,3.50,2.67,3.50,1.00
000507,珠海港,港口,2.62,3.14,3.67,3.17,3.50,4.20
000524,岭南控股,酒店餐饮,2.38,3.71,4.00,4.17,3.50,1.00
600267,海正药业,化学制药,2.38,3.43,3.50,2.83,3.50,4.60
600031,三一重工,工程机械,3.62,4.86,3.50,4.33,3.50,5.00
600837,海通证券,证券,2.38,4.57,3.50,2.17,3.50,1.00
300124,汇川技术,电器仪表,3.25,4.43,3.50,4.17,3.50,1.00
300177,中海达,通信设备,2.38,3.43,3.50,4.50,3.50,1.00
000952,广济药业,化学制药,4.00,5.00,3.50,5.00,3.50,4.40
000801,四川九洲,通信设备,2.50,2.57,3.50,2.67,3.50,1.00
300620,光库科技,元器件,3.12,4.00,3.50,4.50,3.50,4.80
603505,金石资源,矿物制品,3.25,3.71,3.50,5.50,3.50,4.00
300070,碧水源,环境保护,2.00,3.71,3.50,3.83,3.50,1.00
600132,重庆啤酒,啤酒,3.50,4.43,3.67,2.83,3.50,5.00
002654,万润科技,半导体,3.12,3.57,3.67,5.17,3.50,1.00
601633,长城汽车,汽车整车,3.25,4.86,3.83,3.33,3.50,1.00
603987,康德莱,医疗保健,2.25,3.71,3.50,3.17,3.50,4.40
603939,益丰药房,医药商业,3.50,5.00,3.50,4.50,3.50,4.80
